method,lat,long,site,type,lat,transect,overall_mean_temp,overall_temp_range,avg_annual_hot_days,DOC,CN,13_yr_chla
AGRRA,16.15729,88.25073,7,Back Reef,5,6,28.13313,6.58,43,145.7949,17.9118852,0.58056
Video,16.15729,88.25073,7,Back Reef,5,7,28.13313,6.58,43,145.7949,17.9118852,0.58056
Video,16.15729,88.25073,7,Back Reef,5,8,28.13313,6.58,43,145.7949,17.9118852,0.58056
Video,16.15729,88.25073,7,Back Reef,5,9,28.13313,6.58,43,145.7949,17.9118852,0.58056
Video,16.15729,88.25073,7,Back Reef,5,10,28.13313,6.58,43,145.7949,17.9118852,0.58056
Video,16.15729,88.25073,7,Back Reef,5,11,28.13313,6.58,43,145.7949,17.9118852,0.58056
Video,16.15729,88.25073,7,Back Reef,5,12,28.13313,6.58,43,145.7949,17.9118852,0.58056
AGRRA,16.13013,88.33234,8,Patch Reef,5,1,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
AGRRA,16.13013,88.33234,8,Patch Reef,5,2,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
AGRRA,16.13013,88.33234,8,Patch Reef,5,3,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
AGRRA,16.13013,88.33234,8,Patch Reef,5,4,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
AGRRA,16.13013,88.33234,8,Patch Reef,5,5,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
AGRRA,16.13013,88.33234,8,Patch Reef,5,6,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
Video,16.13013,88.33234,8,Patch Reef,5,7,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
Video,16.13013,88.33234,8,Patch Reef,5,8,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
Video,16.13013,88.33234,8,Patch Reef,5,9,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
Video,16.13013,88.33234,8,Patch Reef,5,10,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
Video,16.13013,88.33234,8,Patch Reef,5,11,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
Video,16.13013,88.33234,8,Patch Reef,5,12,28.15322,6.99,47.4,104.84259,9.30254,0.7512468
AGRRA,16.2245,88.62943,9,Nearshore,5,1,28.19089,7.08,59,102.42583,11.2868913,2.8102913
AGRRA,16.2245,88.62943,9,Nearshore,5,2,28.19089,7.08,59,102.42583,11.2868913,2.8102913
AGRRA,16.2245,88.62943,9,Nearshore,5,3,28.19089,7.08,59,102.42583,11.2868913,2.8102913
AGRRA,16.2245,88.62943,9,Nearshore,5,4,28.19089,7.08,59,102.42583,11.2868913,2.8102913
AGRRA,16.2245,88.62943,9,Nearshore,5,5,28.19089,7.08,59,102.42583,11.2868913,2.8102913
AGRRA,16.2245,88.62943,9,Nearshore,5,6,28.19089,7.08,59,102.42583,11.2868913,2.8102913
Video,16.2245,88.62943,9,Nearshore,5,7,28.19089,7.08,59,102.42583,11.2868913,2.8102913
Video,16.2245,88.62943,9,Nearshore,5,8,28.19089,7.08,59,102.42583,11.2868913,2.8102913
Video,16.2245,88.62943,9,Nearshore,5,9,28.19089,7.08,59,102.42583,11.2868913,2.8102913
Video,16.2245,88.62943,9,Nearshore,5,10,28.19089,7.08,59,102.42583,11.2868913,2.8102913
Video,16.2245,88.62943,9,Nearshore,5,11,28.19089,7.08,59,102.42583,11.2868913,2.8102913
Video,16.2245,88.62943,9,Nearshore,5,12,28.19089,7.08,59,102.42583,11.2868913,2.8102913
AGRRA,17.54239,88.06509,11,Patch Reef,2,1,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
AGRRA,17.54239,88.06509,11,Patch Reef,2,2,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
AGRRA,17.54239,88.06509,11,Patch Reef,2,3,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
AGRRA,17.54239,88.06509,11,Patch Reef,2,4,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
AGRRA,17.54239,88.06509,11,Patch Reef,2,5,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
AGRRA,17.54239,88.06509,11,Patch Reef,2,6,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
Video,17.54239,88.06509,11,Patch Reef,2,7,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
Video,17.54239,88.06509,11,Patch Reef,2,8,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
Video,17.54239,88.06509,11,Patch Reef,2,9,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
Video,17.54239,88.06509,11,Patch Reef,2,10,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
Video,17.54239,88.06509,11,Patch Reef,2,11,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
Video,17.54239,88.06509,11,Patch Reef,2,12,28.09338,6.59,47.4,122.99166,11.0642403,0.2177178
AGRRA,17.64363,88.0264,12,Back Reef,2,1,28.09675,6.38,45.8,92.63096,12.744733,0.374322
AGRRA,17.64363,88.0264,12,Back Reef,2,2,28.09675,6.38,45.8,92.63096,12.744733,0.374322
AGRRA,17.64363,88.0264,12,Back Reef,2,3,28.09675,6.38,45.8,92.63096,12.744733,0.374322
AGRRA,17.64363,88.0264,12,Back Reef,2,4,28.09675,6.38,45.8,92.63096,12.744733,0.374322
AGRRA,17.64363,88.0264,12,Back Reef,2,5,28.09675,6.38,45.8,92.63096,12.744733,0.374322
AGRRA,17.64363,88.0264,12,Back Reef,2,6,28.09675,6.38,45.8,92.63096,12.744733,0.374322
Video,17.64363,88.0264,12,Back Reef,2,7,28.09675,6.38,45.8,92.63096,12.744733,0.374322
Video,17.64363,88.0264,12,Back Reef,2,8,28.09675,6.38,45.8,92.63096,12.744733,0.374322
Video,17.64363,88.0264,12,Back Reef,2,9,28.09675,6.38,45.8,92.63096,12.744733,0.374322
Video,17.64363,88.0264,12,Back Reef,2,10,28.09675,6.38,45.8,92.63096,12.744733,0.374322
Video,17.64363,88.0264,12,Back Reef,2,11,28.09675,6.38,45.8,92.63096,12.744733,0.374322
Video,17.64363,88.0264,12,Back Reef,2,12,28.09675,6.38,45.8,92.63096,12.744733,0.374322
AGRRA,17.79846,88.00196,13,Back Reef,1,1,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
AGRRA,17.79846,88.00196,13,Back Reef,1,2,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
AGRRA,17.79846,88.00196,13,Back Reef,1,3,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
AGRRA,17.79846,88.00196,13,Back Reef,1,4,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
AGRRA,17.79846,88.00196,13,Back Reef,1,5,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
AGRRA,17.79846,88.00196,13,Back Reef,1,6,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
Video,17.79846,88.00196,13,Back Reef,1,7,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
Video,17.79846,88.00196,13,Back Reef,1,8,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
Video,17.79846,88.00196,13,Back Reef,1,9,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
Video,17.79846,88.00196,13,Back Reef,1,10,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
Video,17.79846,88.00196,13,Back Reef,1,11,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
Video,17.79846,88.00196,13,Back Reef,1,12,28.10244,6.04,46.2,110.81642,13.523246,2.8138889
AGRRA,17.82413,88.02581,14,Patch Reef,1,1,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
AGRRA,17.82413,88.02581,14,Patch Reef,1,2,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
AGRRA,17.82413,88.02581,14,Patch Reef,1,3,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
AGRRA,17.82413,88.02581,14,Patch Reef,1,4,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
AGRRA,17.82413,88.02581,14,Patch Reef,1,5,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
AGRRA,17.82413,88.02581,14,Patch Reef,1,6,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
Video,17.82413,88.02581,14,Patch Reef,1,7,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
Video,17.82413,88.02581,14,Patch Reef,1,8,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
Video,17.82413,88.02581,14,Patch Reef,1,9,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
Video,17.82413,88.02581,14,Patch Reef,1,10,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
Video,17.82413,88.02581,14,Patch Reef,1,11,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
Video,17.82413,88.02581,14,Patch Reef,1,12,28.09922,6.58,50.8,83.55613,9.9694372,2.8138889
